Subset_Pct,Num_Trans,Minsup_Count,Time_Basic_ms,Time_Opt_ms,Num_FI_Basic,Num_FI_Opt,Trend
10,8817,177,4.31,6.55,63,63,Baseline
25,22041,441,7.95,31.67,59,59,Sublinear
50,44081,882,17.08,134.31,59,59,Linear
75,66122,1323,24.53,139.88,54,54,Linear
100,88162,1764,30.06,166.86,55,55,Linear
