Avg_TxLen,Time_Basic_ms,Time_Opt_ms,Num_FI_Basic,Num_FI_Opt,Analysis
3,1.02,1.4,0,0,Low_impact
4,1.06,1.21,0,0,Low_impact
5,1.24,1.42,0,0,Low_impact
6,1.41,1.55,0,0,Medium_impact
7,1.6,1.9,0,0,Medium_impact
8,1.57,2.78,0,0,Medium_impact
9,1.86,2.48,0,0,Medium_impact
10,1.99,2.21,0,0,Medium_impact
